species,spp10,spp2,dir_species,image,subset
09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,028bc67f-7085-42da-a492-51fff602941b.jpg,train
09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,0592acf8-2fcc-4984-a051-98a4ca009fbf.jpg,train
09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,076e77d2-3219-4dea-9059-aa47e6cf9717.jpg,train
09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,0fa9028b-4955-4e09-b859-3099702a72fb.jpg,train
09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,0fe22bf7-f7fa-4440-8925-65bb4a40e1de.jpg,train
09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,1a0e83e6-dd52-4320-89bd-77fd6aad8e59.jpg,train
09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,1f8ba4e2-015a-4e35-be94-788105a0c8a6.jpg,train
09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,22b0db1d-ee75-4f23-9c2d-67c612a4ae07.jpg,train
09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,273d6319-b70f-425d-b9d1-762a1c73416f.jpg,train
09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,2c86e32e-6001-4938-bdb6-e8ec936ea92a.jpg,train
09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,2f18da63-3973-4c7f-81d5-f804e3623d2a.jpg,train
09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,3099f566-16ec-4125-8f40-5e9dbaea0af9.jpg,train
09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/09101_Plantae_Tracheophyta_Magnoliopsida_Oxalidales_Oxalidaceae_Oxalis_obtusa,37320e5f-29ed-4294-a53a-9e51f0f6bd40.jpg,train
